epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,468.721,1.68191,2.84068,1.99405,1.38897,0.39703,0.1698,0.15065,0.07929,0.38974,0.16973,0.1439,0.06466,1.6495,2.90439,1.92613,1.46959,0.0700124,0.00333196,0.00333196
2,913.537,1.56865,2.66039,1.7382,1.32506,0.3074,0.27863,0.22495,0.13152,0.30099,0.27248,0.21496,0.10724,1.44083,2.63159,1.53847,1.31648,0.0399524,0.00660531,0.00660531
3,1353.42,1.46698,2.49946,1.56436,1.25983,0.4599,0.34474,0.32267,0.19587,0.45047,0.32846,0.3069,0.15934,1.34444,2.38186,1.3419,1.24234,0.00983239,0.00981865,0.00981865
4,1789.59,1.39391,2.38078,1.44039,1.21808,0.4823,0.35026,0.35033,0.21407,0.46064,0.34625,0.33373,0.17557,1.27928,2.31167,1.26849,1.21043,0.00973,0.00973,0.00973
5,2252.62,1.34557,2.29563,1.351,1.18565,0.54325,0.40554,0.40985,0.26709,0.52771,0.39504,0.39089,0.22203,1.2127,2.18507,1.15289,1.16519,0.00964,0.00964,0.00964
6,2716.5,1.30627,2.23505,1.28029,1.159,0.56483,0.44462,0.44882,0.29713,0.54447,0.43466,0.43337,0.25168,1.18964,2.12644,1.10843,1.14654,0.00955,0.00955,0.00955
7,3179.93,1.27567,2.18513,1.23399,1.14286,0.59017,0.45613,0.4791,0.32186,0.57324,0.44026,0.45671,0.26294,1.15012,2.06496,1.041,1.11791,0.00946,0.00946,0.00946
8,3642.22,1.24529,2.14036,1.18575,1.12627,0.59866,0.46624,0.49043,0.33245,0.57547,0.45822,0.46963,0.27705,1.13254,2.01957,1.01091,1.10762,0.00937,0.00937,0.00937
9,4103.64,1.22074,2.10134,1.15449,1.11391,0.63976,0.47034,0.51814,0.35482,0.6174,0.45957,0.49503,0.29512,1.09862,1.97899,0.97499,1.09248,0.00928,0.00928,0.00928
10,4564.64,1.20408,2.06801,1.11249,1.10018,0.6431,0.50036,0.53953,0.37539,0.62455,0.48901,0.51881,0.31284,1.08094,1.94378,0.94029,1.08196,0.00919,0.00919,0.00919
11,5027.28,1.18382,2.04578,1.08121,1.09062,0.67006,0.51032,0.55842,0.38401,0.66002,0.48868,0.53296,0.31817,1.068,1.92374,0.92172,1.07664,0.0091,0.0091,0.0091
12,5488.82,1.18021,2.02838,1.07138,1.08637,0.66402,0.50198,0.55143,0.38297,0.65761,0.49086,0.52905,0.31853,1.05531,1.90377,0.91539,1.06531,0.00901,0.00901,0.00901
13,5948.49,1.15957,1.99669,1.04208,1.07719,0.68271,0.52157,0.57227,0.40311,0.66038,0.50769,0.54938,0.33,1.0387,1.89908,0.88085,1.05298,0.00892,0.00892,0.00892
14,6410.83,1.15494,1.98445,1.02456,1.07135,0.68794,0.51725,0.5767,0.41145,0.67264,0.49546,0.54537,0.314,1.02436,2.00989,0.87474,1.04643,0.00883,0.00883,0.00883
15,6871.58,1.13598,1.96103,1.0019,1.0617,0.69756,0.54421,0.59267,0.42068,0.67258,0.52274,0.55615,0.31883,1.01175,2.012,0.8515,1.04215,0.00874,0.00874,0.00874
