epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,759.828,1.47229,2.59268,3.52194,1.25144,0.39446,0.3153,0.28367,0.16354,0.37717,0.3039,0.26721,0.1373,1.36594,2.43627,2.7694,1.25223,0.080403,0.000399938,0.000399938
2,1404.69,1.44252,2.50683,3.1816,1.24076,0.48939,0.38659,0.37303,0.23048,0.4477,0.38081,0.34698,0.18663,1.26947,2.25892,2.4662,1.19871,0.0608029,0.000799851,0.000799851
3,2042.16,1.39451,2.42966,2.96104,1.21294,0.55183,0.42719,0.42667,0.27689,0.53214,0.41691,0.4073,0.23067,1.20166,2.11334,2.25013,1.14143,0.0412025,0.00119942,0.00119942
4,2691.1,1.34986,2.34601,2.7584,1.18355,0.61223,0.4499,0.48448,0.3205,0.59384,0.43563,0.45738,0.26587,1.1461,2.0296,2.08972,1.11361,0.0216015,0.00159838,0.00159838
5,3327.27,1.31178,2.28564,2.64323,1.16654,0.62809,0.48187,0.51376,0.34767,0.61002,0.46271,0.48578,0.2872,1.10905,1.96929,1.97863,1.09365,0.00199956,0.00199647,0.00199647
6,3957.56,1.2789,2.22866,2.50371,1.14423,0.64799,0.50582,0.54436,0.37379,0.64748,0.48073,0.52115,0.3148,1.07852,1.92823,1.87666,1.07093,0.00199458,0.00199458,0.00199458
7,4590.87,1.24833,2.19462,2.41228,1.1313,0.64752,0.5296,0.55074,0.37633,0.63246,0.51612,0.52726,0.31743,1.05887,1.89072,1.81622,1.06348,0.00199219,0.00199219,0.00199219
8,5241.2,1.22529,2.14931,2.33426,1.11861,0.6679,0.53879,0.56835,0.39422,0.65206,0.52277,0.54078,0.32673,1.04276,1.86274,1.78281,1.05153,0.00198938,0.00198938,0.00198938
9,5877.53,1.20958,2.11748,2.26691,1.10863,0.69697,0.54845,0.59756,0.41686,0.67915,0.53243,0.57006,0.34731,1.02991,1.84154,1.72154,1.04886,0.00198614,0.00198614,0.00198614
10,6543.98,1.19264,2.09202,2.21456,1.10037,0.70431,0.55317,0.59671,0.41974,0.68602,0.53996,0.56822,0.34744,1.00312,1.81314,1.69722,1.03372,0.00198246,0.00198246,0.00198246
11,7201.03,1.18107,2.0764,2.16971,1.09311,0.7152,0.55452,0.6099,0.42832,0.69646,0.53729,0.57891,0.3566,0.99226,1.80242,1.65228,1.02701,0.00197837,0.00197837,0.00197837
12,7836.42,1.16076,2.04253,2.11271,1.08512,0.71721,0.56476,0.60937,0.43401,0.71381,0.54442,0.57859,0.35893,0.98307,1.77689,1.6428,1.02167,0.00197384,0.00197384,0.00197384
13,8470.57,1.15962,2.03709,2.10498,1.08564,0.73225,0.57977,0.63403,0.45458,0.72091,0.55969,0.60289,0.37734,0.96991,1.75783,1.59769,1.01365,0.0019689,0.0019689,0.0019689
14,9094.68,1.1419,2.00527,2.05261,1.07401,0.76728,0.56384,0.64272,0.46421,0.74827,0.55184,0.61732,0.38584,0.96263,1.74002,1.57771,1.00861,0.00196353,0.00196353,0.00196353
15,9736.17,1.13654,2.00228,2.02823,1.0717,0.755,0.59026,0.65305,0.47764,0.73582,0.5733,0.62373,0.39612,0.95414,1.73005,1.54762,1.00415,0.00195775,0.00195775,0.00195775
16,10374.6,1.12889,1.99229,2.01432,1.07096,0.76057,0.5822,0.64477,0.46761,0.74371,0.56627,0.6154,0.38616,0.94466,1.72147,1.53387,0.999,0.00195155,0.00195155,0.00195155
17,11000.5,1.12227,1.97862,1.97775,1.06488,0.75325,0.59723,0.6625,0.48549,0.73714,0.57753,0.63109,0.40253,0.94101,1.70718,1.51262,0.99877,0.00194493,0.00194493,0.00194493
18,11624.9,1.11263,1.95994,1.94686,1.05922,0.7791,0.59445,0.6626,0.48674,0.76431,0.57106,0.63178,0.4021,0.93518,1.69708,1.49695,0.99393,0.00193791,0.00193791,0.00193791
19,12249,1.10941,1.94893,1.93892,1.05901,0.77355,0.60423,0.67441,0.49813,0.76713,0.57571,0.64171,0.41208,0.92686,1.69085,1.4806,0.9917,0.00193048,0.00193048,0.00193048
20,12875.1,1.10069,1.94632,1.90524,1.0538,0.77385,0.60103,0.67333,0.50018,0.75137,0.58735,0.64358,0.41311,0.91968,1.67577,1.46475,0.9873,0.00192264,0.00192264,0.00192264
21,13509.5,1.09117,1.92638,1.89435,1.04828,0.7729,0.60967,0.68108,0.50637,0.75771,0.59753,0.65334,0.42155,0.91445,1.66973,1.45322,0.98323,0.00191441,0.00191441,0.00191441
22,14130.4,1.08887,1.92872,1.8753,1.04726,0.77975,0.61354,0.68265,0.50823,0.75872,0.59619,0.64968,0.41812,0.90962,1.6622,1.43453,0.98038,0.00190578,0.00190578,0.00190578
23,14753.2,1.08863,1.92059,1.86815,1.04399,0.79981,0.60922,0.68847,0.50937,0.78636,0.59073,0.65677,0.42315,0.9051,1.65321,1.42392,0.9762,0.00189675,0.00189675,0.00189675
