epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,360.968,0.82699,1.82823,2.65901,1.16599,0.73717,0.70686,0.77383,0.61954,0.73196,0.68559,0.75161,0.52564,0.69626,1.49667,1.89084,1.08927,0.0804084,0.000399828,0.000399828
2,603.389,0.74039,1.61869,2.16969,1.11289,0.84517,0.76984,0.85557,0.71325,0.84712,0.75385,0.84444,0.62138,0.62074,1.27549,1.41601,1.03534,0.0608083,0.000799742,0.000799742
3,829.818,0.69187,1.53924,1.91837,1.08282,0.85392,0.8051,0.88493,0.74261,0.85707,0.78991,0.87264,0.6587,0.59893,1.1846,1.27947,1.01186,0.0412079,0.00119931,0.00119931
4,1072.65,0.66119,1.44829,1.76941,1.06431,0.86871,0.809,0.88816,0.75606,0.86927,0.81104,0.88422,0.66881,0.57544,1.15393,1.24136,0.99811,0.0216068,0.00159827,0.00159827
5,1295.82,0.6615,1.44179,1.73417,1.06685,0.8721,0.83158,0.90115,0.76828,0.8695,0.83233,0.89706,0.68303,0.56406,1.12126,1.15459,0.99359,0.00200493,0.00199636,0.00199636
6,1532.96,0.64924,1.41727,1.64659,1.0551,0.8941,0.8475,0.91191,0.78953,0.8939,0.84768,0.90961,0.70077,0.54726,1.1138,1.09414,0.97689,0.00199458,0.00199458,0.00199458
7,1757.35,0.63546,1.41451,1.60732,1.04517,0.90437,0.81989,0.91061,0.78614,0.90606,0.82108,0.90918,0.69827,0.55541,1.10295,1.08849,0.97768,0.00199219,0.00199219,0.00199219
8,2016.23,0.63597,1.39273,1.61536,1.04929,0.88994,0.84689,0.91271,0.78433,0.88928,0.84612,0.91084,0.69702,0.55143,1.10193,1.07712,0.98278,0.00198938,0.00198938,0.00198938
9,2252.22,0.62523,1.35595,1.52444,1.04064,0.89704,0.85244,0.91615,0.7931,0.89281,0.8491,0.90849,0.69845,0.54459,1.07697,1.05189,0.97545,0.00198614,0.00198614,0.00198614
10,2497.74,0.61972,1.36264,1.49133,1.03968,0.8899,0.85355,0.91777,0.79447,0.90406,0.8369,0.91559,0.70476,0.53953,1.08895,1.02109,0.96809,0.00198246,0.00198246,0.00198246
11,2761.37,0.62119,1.35633,1.48776,1.03786,0.90211,0.85238,0.91981,0.79426,0.90004,0.85055,0.91438,0.70574,0.54164,1.07906,1.02942,0.97399,0.00197837,0.00197837,0.00197837
12,2986.42,0.61673,1.33933,1.48285,1.03361,0.92622,0.84849,0.92262,0.79821,0.91069,0.85072,0.91878,0.7122,0.54471,1.06824,1.01122,0.97613,0.00197384,0.00197384,0.00197384
13,3214.78,0.60939,1.33759,1.42573,1.02756,0.89814,0.86872,0.92567,0.80172,0.89558,0.86694,0.91907,0.71515,0.5287,1.05637,0.99762,0.96284,0.0019689,0.0019689,0.0019689
14,3437.99,0.60823,1.327,1.43226,1.02867,0.90386,0.85815,0.92085,0.79695,0.8975,0.85759,0.91682,0.70389,0.53094,1.06153,0.99451,0.96776,0.00196353,0.00196353,0.00196353
15,3660.21,0.60482,1.31971,1.42247,1.0257,0.90372,0.85732,0.92713,0.79643,0.89912,0.85131,0.91788,0.70555,0.53345,1.04975,0.99382,0.96852,0.00195775,0.00195775,0.00195775
16,3882.77,0.59814,1.30459,1.387,1.02172,0.91241,0.87325,0.92929,0.80681,0.90962,0.87075,0.9259,0.71876,0.53301,1.04357,0.96529,0.96638,0.00195155,0.00195155,0.00195155
17,4112.26,0.59089,1.29608,1.36227,1.01723,0.91325,0.85757,0.92347,0.80295,0.91205,0.85559,0.91838,0.71099,0.52484,1.05775,0.95748,0.96137,0.00194493,0.00194493,0.00194493
18,4350.06,0.59988,1.29243,1.3724,1.02132,0.90618,0.87277,0.92446,0.80234,0.90181,0.86572,0.91549,0.71044,0.5266,1.05402,0.97533,0.95938,0.00193791,0.00193791,0.00193791
19,4582.43,0.5934,1.29242,1.37802,1.02229,0.92153,0.85575,0.92495,0.80271,0.91142,0.85598,0.9194,0.71394,0.524,1.03569,0.95966,0.95714,0.00193048,0.00193048,0.00193048
20,4814.38,0.58916,1.28391,1.35235,1.01691,0.92209,0.84846,0.92642,0.80362,0.91448,0.85234,0.91974,0.71585,0.52968,1.03646,0.95822,0.96903,0.00192264,0.00192264,0.00192264
21,5045.69,0.59469,1.29368,1.35451,1.02033,0.91445,0.86422,0.92718,0.80958,0.91042,0.86244,0.91953,0.71704,0.52107,1.02789,0.9505,0.96105,0.00191441,0.00191441,0.00191441
22,5332.88,0.58319,1.27899,1.33156,1.00994,0.9066,0.85531,0.92204,0.80549,0.90317,0.85224,0.91532,0.71367,0.51874,1.03843,0.94937,0.95809,0.00190578,0.00190578,0.00190578
23,5566.29,0.57954,1.2598,1.29876,1.01053,0.92712,0.8547,0.92937,0.80842,0.91934,0.85226,0.92241,0.71606,0.51834,1.03462,0.92994,0.95672,0.00189675,0.00189675,0.00189675
24,5808.71,0.57904,1.26414,1.30564,1.00859,0.91144,0.87299,0.93048,0.81439,0.90634,0.87871,0.92948,0.72184,0.51525,1.02218,0.9448,0.95464,0.00188734,0.00188734,0.00188734
25,6030.1,0.5786,1.25988,1.29768,1.01081,0.92982,0.86373,0.93192,0.81323,0.9246,0.8593,0.92632,0.72492,0.51779,1.0314,0.915,0.95419,0.00187754,0.00187754,0.00187754
26,6252.07,0.57909,1.24937,1.29396,1.00865,0.91093,0.87602,0.92893,0.80979,0.9075,0.87382,0.9223,0.72342,0.51549,1.02743,0.94097,0.95534,0.00186737,0.00186737,0.00186737
27,6474.86,0.57485,1.25748,1.275,1.00832,0.9105,0.86811,0.92859,0.81315,0.90464,0.87006,0.92403,0.72319,0.51075,1.01765,0.93286,0.95236,0.00185681,0.00185681,0.00185681
28,6703.29,0.57307,1.2364,1.26005,1.0098,0.90875,0.87646,0.92994,0.81434,0.90275,0.87744,0.92622,0.72327,0.51063,1.02218,0.92977,0.95051,0.00184588,0.00184588,0.00184588
29,6925.14,0.56923,1.24215,1.26447,1.00547,0.91673,0.86974,0.92784,0.8123,0.91298,0.86787,0.92238,0.723,0.50436,1.01768,0.93892,0.95159,0.00183459,0.00183459,0.00183459
30,7146.55,0.56963,1.24099,1.25357,1.00659,0.91104,0.86491,0.93108,0.81706,0.90869,0.86531,0.92705,0.72588,0.5034,1.01525,0.93027,0.94835,0.00182294,0.00182294,0.00182294
31,7368.34,0.56418,1.22528,1.23746,1.00187,0.90408,0.88447,0.9281,0.81465,0.90575,0.8786,0.92722,0.72497,0.51277,1.01586,0.91158,0.95221,0.00181093,0.00181093,0.00181093
32,7590.5,0.5601,1.21104,1.2363,0.99884,0.9233,0.86397,0.92999,0.8168,0.92475,0.86058,0.92648,0.72452,0.50617,1.01377,0.9084,0.95071,0.00179856,0.00179856,0.00179856
33,7812.17,0.56352,1.22866,1.23431,0.99982,0.92077,0.88013,0.93505,0.82266,0.91845,0.87822,0.92892,0.72976,0.50312,1.00986,0.88426,0.94598,0.00178586,0.00178586,0.00178586
34,8033.72,0.56002,1.23343,1.2392,1.00017,0.91669,0.87152,0.9312,0.81719,0.91482,0.87007,0.92479,0.72589,0.50129,1.00702,0.89416,0.94849,0.00177281,0.00177281,0.00177281
35,8254.7,0.55502,1.2106,1.20295,0.99382,0.91999,0.87313,0.9337,0.819,0.91726,0.87146,0.92712,0.72717,0.50072,1.00496,0.91014,0.94829,0.00175943,0.00175943,0.00175943
36,8485.1,0.55897,1.21855,1.20452,0.99588,0.91792,0.87724,0.93416,0.82122,0.91645,0.87735,0.9329,0.7313,0.50068,1.00899,0.88755,0.95015,0.00174571,0.00174571,0.00174571
37,8726.03,0.55722,1.2149,1.21133,0.99247,0.90884,0.87862,0.9349,0.81942,0.90466,0.87881,0.93048,0.72686,0.4945,1.00741,0.89175,0.941,0.00173168,0.00173168,0.00173168
38,8947.65,0.54914,1.17978,1.17004,0.99061,0.90483,0.876,0.93245,0.81923,0.9049,0.8726,0.92738,0.73127,0.49408,0.99692,0.88763,0.94623,0.00171733,0.00171733,0.00171733
39,9170.22,0.55089,1.20092,1.181,0.99469,0.92408,0.87219,0.93039,0.81786,0.91827,0.86997,0.92312,0.72605,0.49417,1.01055,0.90327,0.94474,0.00170267,0.00170267,0.00170267
40,9392.41,0.54806,1.19149,1.1965,0.99025,0.91305,0.87565,0.92852,0.81848,0.90229,0.88623,0.92691,0.72975,0.49656,0.99732,0.89009,0.946,0.0016877,0.0016877,0.0016877
41,9615.23,0.54287,1.19415,1.15861,0.98746,0.91865,0.87359,0.92859,0.82004,0.92047,0.87261,0.92729,0.73194,0.4987,0.98999,0.87751,0.94777,0.00167244,0.00167244,0.00167244
42,9837.02,0.54725,1.19329,1.16726,0.99063,0.91079,0.87466,0.92763,0.8193,0.92625,0.85743,0.92176,0.72946,0.49286,1.00027,0.8941,0.94474,0.00165689,0.00165689,0.00165689
43,10058.8,0.54999,1.1834,1.1623,0.99228,0.92231,0.87566,0.93329,0.82276,0.92056,0.872,0.9283,0.72992,0.49496,1.00414,0.8677,0.94199,0.00164105,0.00164105,0.00164105
44,10280.6,0.54725,1.18074,1.16622,0.98999,0.8877,0.89521,0.92864,0.81577,0.91332,0.87431,0.92565,0.72664,0.4961,1.00203,0.88224,0.94774,0.00162494,0.00162494,0.00162494
